72 Trần Phú, Thị trấn Đak Đoa, Huyện Đak Đoa, Tỉnh Gia Lai
thôn 2, ĐakPơ - Huyện ĐakPơ - Gia Lai
thôn 2, ĐakPơ - Huyện ĐakPơ - Gia Lai
Thôn 2 ĐakPơ - Huyện ĐakPơ - Gia Lai
21 Wừu - Phường Ia Kring - Thành phố  Pleiku - Gia Lai
Tổ dân phố 5 - TT Phú Thiện - Huyện Phú Thiện - Gia Lai
Tổ dân phố 5 - TT Phú Thiện - Huyện Phú Thiện - Gia Lai
Tổ dân phố 5 - TT Phú Thiện - Huyện Phú Thiện - Gia Lai
Thôn Ma Rin 2 - Xã Ia Ma Rơn - Huyện IaPa - Gia Lai
Trung tâm huyện - Huyện IaPa - Gia Lai
532 Nguyễn Huệ - Huyện Đak Đoa - Gia Lai
Tổ 6 - Thị trấn Chư Sê - Huyện Chư Sê - Gia Lai
63 Lý Thái Tổ - Phường Yên Đỗ - Thành phố  Pleiku - Gia Lai
66 Yên Đỗ - Phường Yên Đỗ - Thành phố  Pleiku - Gia Lai
Tổ dân phố 5 - TT Phú Thiện - Thị Trấn Phú Thiện - Huyện Phú Thiện - Gia Lai
47 Trần Phú - Thị trấn Kông Chro - Huyện Kông Chro - Gia Lai
68A Nguyễn Huệ - Thị xã Ayun Pa - Gia Lai
68A Nguyễn Huệ - Thị xã Ayun Pa - Gia Lai
Ngã ba cây xoài - Thị xã Ayun Pa - Gia Lai
68A Nguyễn Huệ - Thị xã Ayun Pa - Gia Lai
36 Trần Hưng Đạo - Thị xã Ayun Pa - Gia Lai
68A Nguyễn Huệ - Thị xã Ayun Pa - Gia Lai
175 Lê Hồng Phong - Thị xã Ayun Pa - Gia Lai
Phường Hòa Bình - Thị xã Ayun Pa - Gia Lai
328 Hai Bà Trưng - Phường Yên Đỗ - Thành phố  Pleiku - Gia Lai
220 Hùng Vương - Thị trấn Chư Sê - Huyện Chư Sê - Gia Lai
134 Hùng Vương - Phường Hội Thương - Thành phố  Pleiku - Gia Lai
đội thu thuế số2 - Huyện Chư Păh - Gia Lai
Đội thu thuế số 1 - Huyện Chư Păh - Gia Lai
phường Iakring - Thành phố  Pleiku - Gia Lai
phường Hội Phú - Thành phố  Pleiku - Gia Lai
phường Hoa Lư - Thành phố  Pleiku - Gia Lai
111 Trần Phú - Phường Diên Hồng - Thành phố  Pleiku - Gia Lai
Đội trước bạ - Thành phố  Pleiku - Gia Lai
Đội tuyên truyền hỗ trợ - Thành phố  Pleiku - Gia Lai
Yên Thế - Thành phố  Pleiku - Gia Lai
Chư á - Thành phố  Pleiku - Gia Lai
Chi Lăng - Thành phố  Pleiku - Gia Lai
phường Trà Bá - Phù Đổng - Thành phố  Pleiku - Gia Lai
TTTMại - Thành phố  Pleiku - Gia Lai
P.Yên Đỗ - Thành phố  Pleiku - Gia Lai
P. Thống Nhất - Thành phố  Pleiku - Gia Lai
P.Tây Sơn - Thành phố  Pleiku - Gia Lai
P. Diên Hồng - Thành phố  Pleiku - Gia Lai
P.Hội Thương - Thành phố  Pleiku - Gia Lai
15 Trường Chinh - Phường Phù Đổng - Thành phố  Pleiku - Gia Lai
43 Lý Nam Đế - Phường Trà Bá - Thành phố  Pleiku - Gia Lai
Đội thu thuế số 2 - Xã Nghĩa Hòa - Huyện Chư Păh - Gia Lai
34/30 Huyền Trân Công Chúa - Phường Phù Đổng - Thành phố  Pleiku - Gia Lai
Đội thuế liên xã - Xã Kon Thụp - Huyện Mang Yang - Gia Lai
Làng HLũ - Xã Ia Tô - Huyện Ia Grai - Gia Lai
29 Lý Thường Kiệt - Thị trấn Đăk Đoa - Huyện Đak Đoa - Gia Lai
Xã Iale - Huyện Chư Pưh - Gia Lai
Xã Chư Don - Xã Chư Don - Huyện Chư Pưh - Gia Lai
347 Nguyễn Viết Xuân - Phường Hội Phú - Thành phố  Pleiku - Gia Lai
338 Cách Mạng Tháng Tám - Thành phố  Pleiku - Gia Lai
173 Đỗ Trạc - Phường Tây Sơn - Thị xã An Khê - Gia Lai
Thôn An Thượng 2 - Xã Song An - Thị xã An Khê - Gia Lai
46 Quang Trung - Phường An Tân - Thị xã An Khê - Gia Lai
304 Trường Sơn - Phường Yên Thế - Thành phố  Pleiku - Gia Lai
395 Phạm Văn Đồng - Phường Đống Đa - Thành phố  Pleiku - Gia Lai
77C Huỳnh Thúc Kháng - Phường Yên Đỗ - Thành phố  Pleiku - Gia Lai
Đường Phan Thêm, Mỹ Thạch 2 - Thị trấn Chư Sê - Huyện Chư Sê - Gia Lai
31 Tôn Thất Thuyết - Phường Thống Nhất - Thành phố  Pleiku - Gia Lai
131 Thống Nhất - Phường Ia Kring - Thành phố  Pleiku - Gia Lai
338A Phan Đình Phùng - Phường Yên Đỗ - Thành phố  Pleiku - Gia Lai
17 Đinh Tiên Hoàng - Phường Diên Hồng - Thành phố  Pleiku - Gia Lai
Số nhà R1, Khu Biệt thự Phượng Hoàng 1, đường Nguyễn Thượng - Xã Trà Đa - Thành phố  Pleiku - Gia Lai
Lô E6 Khu Công nghiệp Trà Đa - Xã Trà Đa - Thành phố  Pleiku - Gia Lai
295 Quang Trung - Huyện Kbang - Gia Lai
203 B Trần Cao Vân - Phường Tây Sơn - Thành phố  Pleiku - Gia Lai
15 Trường Chinh - Phường Phù Đổng - Thành phố  Pleiku - Gia Lai
Tổ 13 - Phường Hội Phú - Thành phố  Pleiku - Gia Lai
75,77 Tăng Bặt Hổ - Thành phố  Pleiku - Gia Lai
856 Trường Chinh - Phường Chi Lăng - Thành phố  Pleiku - Gia Lai
Tầng 2 - Số nhà 211 Quang Trung - Thị trấn KBang - Huyện Kbang - Gia Lai
46 B Lý Nam Đế - Phường Trà Bá - Thành phố  Pleiku - Gia Lai
Bôn Ma Rai A - Xã Ia Hiao - Huyện Phú Thiện - Gia Lai
47 Nguyễn Văn Trỗi - Phường Hội Thương - Thành phố  Pleiku - Gia Lai
119D Cao Bá Quát - Phường Yên Đỗ - Thành phố  Pleiku - Gia Lai
23 B Hùng Vương - Phường Diên Hồng - Thành phố  Pleiku - Gia Lai
406 Trường Chinh - Phường Trà Bá - Thành phố  Pleiku - Gia Lai
224 Huỳnh Thúc Kháng - Phường Yên Đỗ - Thành phố  Pleiku - Gia Lai
15 Nguyễn Tất Thành - Phường Hoa Lư - Thành phố  Pleiku - Gia Lai
Khu phố 6 - Thị trấn Ia Kha - Huyện Ia Grai - Gia Lai
Thôn Hoàng Tiên - Xã Ia Phìn - Huyện Chư Prông - Gia Lai
307 Phạm Văn Đồng - Phường Thống Nhất - Thành phố  Pleiku - Gia Lai
Tổ 15 - Phường Hội Phú - Thành phố  Pleiku - Gia Lai
Thôn Hoàng Tiên - Xã Ia Phìn - Huyện Chư Prông - Gia Lai
28/1 Trần Hưng Đạo - Phường Tây Sơn - Thành phố  Pleiku - Gia Lai
34 Phan Đình Phùng - Phường Tây Sơn - Thành phố  Pleiku - Gia Lai
21 Lê Duẩn - Phường Phù Đổng - Thành phố  Pleiku - Gia Lai
Thôn 3 - Xã Ia Tô - Huyện Ia Grai - Gia Lai
91B Tô Vĩnh Diện - Phường Hoa Lư - Thành phố  Pleiku - Gia Lai
45/50 Nguyễn Đình Chiểu - Phường Tây Sơn - Thành phố  Pleiku - Gia Lai
22-24-26 Trần Phú - Phường Tây Sơn - Thành phố  Pleiku - Gia Lai
Tổ dân phố 1 - Thị Trấn Phú Thiện - Huyện Phú Thiện - Gia Lai
134 Trường Sơn - Phường Yên Thế - Thành phố  Pleiku - Gia Lai
198 Cách Mạng Tháng Tám, tổ 9 - Phường Hoa Lư - Thành phố  Pleiku - Gia Lai
20 Phan Bội Châu - Phường Hội Thương - Thành phố  Pleiku - Gia Lai
Buôn Djrông - Xã Ia HDreh - Huyện Krông Pa - Gia Lai
41 Hoàng Văn Thái - Phường Hoa Lư - Thành phố  Pleiku - Gia Lai
15B Nguyễn Trường Tộ - Phường Diên Hồng - Thành phố  Pleiku - Gia Lai
Thôn 2 - Xã Đăk Smar - Huyện Kbang - Gia Lai
Thôn An Sơn - Xã Cư An - Huyện ĐakPơ - Gia Lai
48 Phan Đăng Lưu - Phường Thống Nhất - Thành phố  Pleiku - Gia Lai
Xã Ia Sao - Xã Ia Sao - Huyện Ia Grai - Gia Lai
22 Hai Bà Trưng, tổ 2 - Phường Tây Sơn - Thành phố  Pleiku - Gia Lai
40 Võ Thị Sáu - Thành phố  Pleiku - Gia Lai
232 Quang Trung - Thị trấn Chư Ty - Huyện Đức Cơ - Gia Lai
09 Phan Bộ Châu - Phường Hội Thương - Thành phố  Pleiku - Gia Lai
Thôn 1 - Xã Lơ Ku - Huyện Kbang - Gia Lai
50 Phan Chu Trinh - Phường An Phú - Thị xã An Khê - Gia Lai
Tô Vĩnh Diện, Tổ 12 - Phường Hoa Lư - Thành phố  Pleiku - Gia Lai
Làng Kuai - Xã Ia Blứ - Huyện Chư Pưh - Gia Lai
699 Phạm Văn Đồng - Phường Đống Đa - Thành phố  Pleiku - Gia Lai
60/1 Hai Bà Trưng - Phường Tây Sơn - Thành phố  Pleiku - Gia Lai
307 Cách Mạng Tháng Tám - Phường Hoa Lư - Thành phố  Pleiku - Gia Lai
Thôn An Điền - Xã Ia Blang - Huyện Chư Sê - Gia Lai
81 Lê Đại Hành - Phường Đống Đa - Thành phố  Pleiku - Gia Lai
Đường Lê Quý Đôn, tổ dân phố 1 - Thị trấn Chư Sê - Huyện Chư Sê - Gia Lai
Quốc lộ 14, thôn Phú Vinh - Xã Ia Băng - Huyện Chư Prông - Gia Lai
Thôn An Quý - Xã Phú An - Huyện ĐakPơ - Gia Lai
972 Phạm Văn Đồng - Phường Yên Thế - Thành phố  Pleiku - Gia Lai
Đường Hoàng Đạo Thúy - Phường Tây Sơn - Thành phố  Pleiku - Gia Lai
140 Quyết Tiến - Phường Ia Kring - Thành phố  Pleiku - Gia Lai
Thôn Đồng Bằng - Xã Biển Hồ - Thành phố  Pleiku - Gia Lai
Thôn 19 - Xã Ia Tiêm - Huyện Chư Sê - Gia Lai
Đường Hùng Vương, Tổ dân phố 4 - Thị trấn Chư Sê - Huyện Chư Sê - Gia Lai
09 A Cách Mạng Tháng Tám, tổ dân phố 9 - Thị trấn Chư Sê - Huyện Chư Sê - Gia Lai
Thôn Hòa Tín - Thị trấn Nhơn Hoà - Huyện Chư Pưh - Gia Lai
09 Tôn Đức Thắng - Phường Yên Thế - Thành phố  Pleiku - Gia Lai
Thôn Ia Rok - Xã Chư HDrông - Thành phố  Pleiku - Gia Lai
251A Cách Mạng Tháng Tám - Phường Hoa Lư - Thành phố  Pleiku - Gia Lai
75 Đ.Lê Lợi - TT Kbang - Huyện Kbang - Gia Lai
47/1B Hẻm Sư Vạn Hạnh - Phường Hội Thương - Thành phố  Pleiku - Gia Lai
Lô A5-67, 68, Khu An Mỹ-Khu Đô thị Cầu sắt, đường Tôn Thất T - Phường Phù Đổng - Thành phố  Pleiku - Gia Lai
122 Tôn Thất Tùng - Phường Phù Đổng - Thành phố  Pleiku - Gia Lai
246/18 Phù Đổng - Phường Hoa Lư - Thành phố  Pleiku - Gia Lai
Thôn 1 - Xã Thành An - Thị xã An Khê - Gia Lai
14B Nguyễn Công Trứ - Phường Yên Đỗ - Thành phố  Pleiku - Gia Lai
41 Duy Tân - Phường Diên Hồng - Thành phố  Pleiku - Gia Lai
Thôn Hàm Rồng - Xã Chư HDrông - Thành phố  Pleiku - Gia Lai
Thôn 1 - Xã Đak Pơ - Huyện ĐakPơ - Gia Lai
473 Nguyễn Huệ - Thị trấn Đăk Đoa - Huyện Đak Đoa - Gia Lai
Tô 8 - Thị trấn Đăk Đoa - Huyện Đak Đoa - Gia Lai
Lô 5 (trung tâm chợ Đức Cơ), đường Quang Trung - Thị trấn Chư Ty - Huyện Đức Cơ - Gia Lai
190 Bùi Thị Xuân, tổ 11 - Phường An Phú - Thị xã An Khê - Gia Lai
Xã IaKo - Xã Ia Ko - Huyện Chư Sê - Gia Lai
148A Đỗ Trạc - Phường Tây Sơn - Thị xã An Khê - Gia Lai
42 Lê Lợi - Phường Hội Thương - Thành phố  Pleiku - Gia Lai
đường Tôn Thất Tùng, tổ 12 - Phường Phù Đổng - Thành phố  Pleiku - Gia Lai
Thôn Nhơn Tân - Xã ĐăkTaLey - Huyện Mang Yang - Gia Lai
266 B Nguyễn Viết Xuân - Phường Hội Phú - Thành phố  Pleiku - Gia Lai
21 Lê Hồng Phong - Phường Diên Hồng - Thành phố  Pleiku - Gia Lai
Làng JoLong - Xã Hà Ra - Huyện Mang Yang - Gia Lai
Tổ dân phố 9 - Thị trấn Kon Dơng - Huyện Mang Yang - Gia Lai
Thôn Tân Hòa - Huyện ĐakPơ - Gia Lai
27 Lê Đình Chinh, tổ 11 - Phường Hoa Lư - Thành phố  Pleiku - Gia Lai
Tổ 6 - Phường Chi Lăng - Thành phố  Pleiku - Gia Lai
153A Nguyễn Văn Cừ - Phường Ia Kring - Thành phố  Pleiku - Gia Lai
724 Lê Duẩn - Xã Chư á - Thành phố  Pleiku - Gia Lai
Tổ dân phố 12 - Thị Trấn Phú Thiện - Huyện Phú Thiện - Gia Lai
63 Phan Đình Giót - Phường Hoa Lư - Thành phố  Pleiku - Gia Lai
Cảng hàng không Pleiku, đường 17/3 - Phường Thống Nhất - Thành phố  Pleiku - Gia Lai
Thôn PleiMun - Xã Ia Ke - Huyện Phú Thiện - Gia Lai
25A Võ Văn Tần - Phường Thắng Lợi - Thành phố  Pleiku - Gia Lai
7/1B Lê Lai - Phường Hoa Lư - Thành phố  Pleiku - Gia Lai
68 Tăng Bạt Hổ - Phường Yên Đỗ - Thành phố  Pleiku - Gia Lai
Đường Hai Bà Trưng - Thị trấn Ia Kha - Huyện Ia Grai - Gia Lai
Tỉnh lộ 663 - Xã Ia Drăng - Huyện Chư Prông - Gia Lai
tổ 2 - Thị trấn Chư Sê - Huyện Chư Sê - Gia Lai
61 Cách Mạng Tháng Tám - Phường Hoa Lư - Thành phố  Pleiku - Gia Lai
QL 14 - IaRok - Xã Chư HDrông - Thành phố  Pleiku - Gia Lai
Đường Đinh Tiên Hoàng - Thị trấn Đăk Đoa - Huyện Đak Đoa - Gia Lai
04 Nguyễn Viết Xuân - Phường Đoàn Kết - Thị xã Ayun Pa - Gia Lai
58 Nguyễn Công Trứ - Phường Yên Đỗ - Thành phố  Pleiku - Gia Lai
11 Trần Khánh Dư - Phường Diên Hồng - Thành phố  Pleiku - Gia Lai
704 Quang Trung, tổ dân phố 6 - Thị trấn Chư Ty - Huyện Đức Cơ - Gia Lai
Đường Nguyễn Đường, tổ dân phố 2 - Thị trấn Phú Hòa - Huyện Chư Păh - Gia Lai
Tổ dân phố 21 - Thị Trấn Phú Thiện - Huyện Phú Thiện - Gia Lai
Lô số 01(khu 6B3)- thôn cửa khẩu 19 - Xã Ia Dom - Huyện Đức Cơ - Gia Lai
Lô 6 (TT Thương mại Cửa khẩu), Thôn Cửa khẩu 19 - Xã Ia Dom - Huyện Đức Cơ - Gia Lai
257 hẻm Lê Lợi - Phường Hội Thương - Thành phố  Pleiku - Gia Lai
UBND xã - Xã Chơ Long - Huyện Kông Chro - Gia Lai
111B Đường Wừu - Phường Ia Kring - Thành phố  Pleiku - Gia Lai
Tổ 12 - Phường Hoa Lư - Thành phố  Pleiku - Gia Lai
Khu Công nghiệp Ia Khươl, thôn Tân Lập - Xã Ia Khươl - Huyện Chư Păh - Gia Lai
63 Nguyễn Huệ - Phường Đoàn Kết - Thị xã Ayun Pa - Gia Lai
Tổ 10 - Phường Yên Thế - Thành phố  Pleiku - Gia Lai
Lô 35 Khu quy hoạch dân cư, tổ 14 - Phường Thống Nhất - Thành phố  Pleiku - Gia Lai
Tầng 3, Siêu thị Vinatex Pleiku - Phường Diên Hồng - Thành phố  Pleiku - Gia Lai
74 Ngô Gia Khảm - Phường Phù Đổng - Thành phố  Pleiku - Gia Lai
Thôn 2 - Thị Trấn Đak Pơ - Huyện ĐakPơ - Gia Lai
Xã Ia Chía - Xã Ia Chia - Huyện Ia Grai - Gia Lai
130 Quyết Tiến - Phường Ia Kring - Thành phố  Pleiku - Gia Lai
332 Nguyễn Viết Xuân - Phường Hội Phú - Thành phố  Pleiku - Gia Lai
Tổ 13 - Phường Tây Sơn - Thành phố  Pleiku - Gia Lai
82 Hùng Vương - Phường Hội Thương - Thành phố  Pleiku - Gia Lai
68 Hùng Vương, tổ 7 - Phường Hội Thương - Thành phố  Pleiku - Gia Lai
327 A Cách Mạng Tháng Tám - Phường Hoa Lư - Thành phố  Pleiku - Gia Lai
48B Tôn Thất Tùng - Phường Phù Đổng - Thành phố  Pleiku - Gia Lai
Tổ dân phố 10 - Thị Trấn Phú Thiện - Huyện Phú Thiện - Gia Lai
Lô 05-khu 6B3, thôn Cửa Khẩu - Xã Ia Dom - Huyện Đức Cơ - Gia Lai
Thôn Đồng Tâm - Xã Bờ Ngoong - Huyện Chư Sê - Gia Lai
116 đường Trần Phú, tổ 8 - Phường Tây Sơn - Thị xã An Khê - Gia Lai
241 Quang Trung, Tổ 1 - Phường An Phú - Thị xã An Khê - Gia Lai
111 Bà Triệu - Phường Phù Đổng - Thành phố  Pleiku - Gia Lai
807 Lê Duẩn, thôn 2 - Xã Chư á - Thành phố  Pleiku - Gia Lai
ĐakKrong - Xã Đak Krong - Huyện Đak Đoa - Gia Lai
ĐakKrong - Xã Đak Krong - Huyện Đak Đoa - Gia Lai
Xã Tân Bình - Xã Tân Bình - Huyện Đak Đoa - Gia Lai
Thôn 1 - Xã Tân Bình - Huyện Đak Đoa - Gia Lai
Xã Tân Bình - Xã Tân Bình - Huyện Đak Đoa - Gia Lai
107 Cù Chính Lan, tổ 1 - Phường Ia Kring - Thành phố  Pleiku - Gia Lai
563 Đường Phan Đình Phùng, tổ dân phố 8 - Phường Yên Đỗ - Thành phố  Pleiku - Gia Lai
Thôn Đoàn Kết - Xã Ia Hiao - Huyện Phú Thiện - Gia Lai
901 Hùng Vương - Thị trấn Chư Sê - Huyện Chư Sê - Gia Lai
02 Lý Thái Tổ - Phường Yên Đỗ - Thành phố  Pleiku - Gia Lai
373 Nguyễn Viết Xuân - Phường Hội Phú - Thành phố  Pleiku - Gia Lai
38 Chu Mạnh Trinh - Phường Hội Phú - Thành phố  Pleiku - Gia Lai
Thôn Hàm Rồng - Xã Chư HDrông - Thành phố  Pleiku - Gia Lai
Thôn Tân Lập - Xã Trang - Huyện Đak Đoa - Gia Lai
Thôn Tân Lập - Xã Trang - Huyện Đak Đoa - Gia Lai
Thôn Nglơm - Xã Ia Pết - Huyện Đak Đoa - Gia Lai
Thôn 10 - Xã Ia Pết - Huyện Đak Đoa - Gia Lai
Thôn 1 - Xã Hải Yang - Huyện Đak Đoa - Gia Lai
Thôn 1 - Xã Hải Yang - Huyện Đak Đoa - Gia Lai
Thôn Cửa Khẩu - Xã Ia Dom - Huyện Đức Cơ - Gia Lai
- Xã Thăng Hưng - Huyện Chư Prông - Gia Lai
Tổ 11 - Phường Hội Phú - Thành phố  Pleiku - Gia Lai
04 Quang Trung - Huyện IaPa - Gia Lai
231 Hùng Vương - Thị trấn Phú Túc - Huyện Krông Pa - Gia Lai
Quang Trung - Chư Ty - Huyện Đức Cơ - Gia Lai
61 Trần Hưng Đạo, tổ 7 - Thị trấn Chư Sê - Huyện Chư Sê - Gia Lai
06 Phan Đình Phùng - Phường Tây Sơn - Thành phố  Pleiku - Gia Lai
Đường số 4, Lô C3, khu công nghiệp Trà Đa - Xã Trà Đa - Thành phố  Pleiku - Gia Lai
Xã Ia Piar - Xã Ia Piar - Huyện Phú Thiện - Gia Lai
K'Dang - Xã K- Dang - Huyện Đak Đoa - Gia Lai
K'Dang - Xã K- Dang - Huyện Đak Đoa - Gia Lai
Xã K'Dang - Xã K- Dang - Huyện Đak Đoa - Gia Lai
Làng Bông - Xã Hà Bầu - Huyện Đak Đoa - Gia Lai
Làng Bông - Xã Hà Bầu - Huyện Đak Đoa - Gia Lai
960 A Phạm Văn Đồng - Phường Yên Thế - Thành phố  Pleiku - Gia Lai
131/10 Lê Duẩn - Phường Phù Đổng - Thành phố  Pleiku - Gia Lai
28A Yên Đỗ - Phường Yên Đỗ - Thành phố  Pleiku - Gia Lai
55 Lê Thánh Tôn - Thành phố  Pleiku - Gia Lai
Khối phố 2 - Thị trấn Ia Kha - Huyện Ia Grai - Gia Lai
01A Nguyễn Huệ - Phường Đoàn Kết - Thị xã Ayun Pa - Gia Lai
đường Quang Trung - Thị trấn Kon Dơng - Huyện Mang Yang - Gia Lai
Xã Kon Gang - Xã Kon Gang - Huyện Đak Đoa - Gia Lai
14 Quang Trung - Thị xã An Khê - Gia Lai
- Xã Ia Nan - Huyện Đức Cơ - Gia Lai
Km 74, quốc lộ 19 - Xã Song An - Thị xã An Khê - Gia Lai
33 Lạc Long Quân - Thành phố  Pleiku - Gia Lai
Tổ dân phố 4- thị trấn KonDong - Thị trấn Kon Dơng - Huyện Mang Yang - Gia Lai
71 Trường Chinh - Phường Phù Đổng - Thành phố  Pleiku - Gia Lai
13 Đoàn Thị Điểm - Thành phố  Pleiku - Gia Lai
495 Nguyễn Huệ - Thị trấn Đăk Đoa - Huyện Đak Đoa - Gia Lai
16/2 Phan Đình Phùng - Phường Tây Sơn - Thành phố  Pleiku - Gia Lai
Thôn 6 - Xã An Phú - Thành phố  Pleiku - Gia Lai
Xã ĐăkJơta - Xã ĐăkJơTa - Huyện Mang Yang - Gia Lai
Thôn Broach - Xã A Dơk - Huyện Đak Đoa - Gia Lai
86 Nguyễn Thiếp - Phường Yên Đỗ - Thành phố  Pleiku - Gia Lai
153 Trường Chinh - Thành phố  Pleiku - Gia Lai
66 Lê Duẩn - Phường Trà Bá - Thành phố  Pleiku - Gia Lai
Thôn 2 - Xã Ayun - Huyện Mang Yang - Gia Lai
15 Trường Chinh - Thành phố  Pleiku - Gia Lai
25 Phạm Văn Đồng - Phường Tây Sơn - Thành phố  Pleiku - Gia Lai
58/28 Phạm Văn Đồng - Phường Hoa Lư - Thành phố  Pleiku - Gia Lai
199 Nguyễn Tất Thành - Phường Phù Đổng - Thành phố  Pleiku - Gia Lai
556 Lê Duẩn, tổ 2 - Phường Thắng Lợi - Thành phố  Pleiku - Gia Lai
35 Nguyễn Trường Tộ - Phường Diên Hồng - Thành phố  Pleiku - Gia Lai
441 Phạm Văn Đồng - Phường Đống Đa - Thành phố  Pleiku - Gia Lai
TT huyện IaPa - Huyện IaPa - Gia Lai
17 Thống Nhất, Khối phố 1 - Huyện Krông Pa - Gia Lai
Thôn 7 - Huyện Kbang - Gia Lai
thôn 3 - Xã Nam Yang - Huyện Đak Đoa - Gia Lai
. - Xã HNol - Huyện Đak Đoa - Gia Lai
Xã H'Nol - Xã HNol - Huyện Đak Đoa - Gia Lai
Kon Gang - Xã Kon Gang - Huyện Đak Đoa - Gia Lai
ĐakSơMei - Xã Đăk Sơmei - Huyện Đak Đoa - Gia Lai
Đường Lê Hồng Phong - Thị trấn Đăk Đoa - Huyện Đak Đoa - Gia Lai
Thôn 4 - Thị trấn Đăk Đoa - Huyện Đak Đoa - Gia Lai
Thôn 3 - Thị trấn Đăk Đoa - Huyện Đak Đoa - Gia Lai
1005 Trường Chinh, Tổ 1 - Phường Chi Lăng - Thành phố  Pleiku - Gia Lai
Làng Khớp - Huyện Ia Grai - Gia Lai
Đường Tô Vĩnh Diện, Tổ dân phố 3 - Huyện Chư Sê - Gia Lai
113 Hùng Vương - Thị xã Ayun Pa - Gia Lai
14 Tân Tiến - Phường Ia Kring - Thành phố  Pleiku - Gia Lai
21 Quyết Tiến - Phường Ia Kring - Thành phố  Pleiku - Gia Lai
Đường Nguyễn Văn Linh - Phường Ia Kring - Thành phố  Pleiku - Gia Lai
15 Trường Chinh - Phường Phù Đổng - Thành phố  Pleiku - Gia Lai
54/25 Sư Vạn Hạnh - Thành phố  Pleiku - Gia Lai
185B Phan Đình Phùng - Thành phố  Pleiku - Gia Lai
14B Phan Đăng Lưu - Thành phố  Pleiku - Gia Lai
447 Hùng Vương - Thành phố  Pleiku - Gia Lai
(theo Giấy CNQSD đất số BH167705) - Xã Ia RTô - Thị xã Ayun Pa - Gia Lai
259 Cách Mạng Tháng Tám - Phường Hoa Lư - Thành phố  Pleiku - Gia Lai
Xã Nam Yang - Xã Nam Yang - Huyện Đak Đoa - Gia Lai
Đường Trần Hưng Đạo, tổ dân phố 8 - Huyện Đak Đoa - Gia Lai
Số 668 - Hùng Vương, tổ dân phố 1 - Thị trấn Chư Sê - Huyện Chư Sê - Gia Lai
Làng tu1 - Huyện Chư Prông - Gia Lai
153 Cách Mạng Tháng Tám - Phường Hoa Lư - Thành phố  Pleiku - Gia Lai
63/45 đường út Tịch - Thành phố  Pleiku - Gia Lai
Tổ 10, đường Hùng Vương - Thị trấn Chư Sê - Huyện Chư Sê - Gia Lai
Thôn Thủy Phú - Xã Ia Le - Huyện Chư Pưh - Gia Lai
Thôn Tuch Răn - Xã Kông Pla - Huyện Kbang - Gia Lai
Đường Nguyễn Nhạc, tổ 13 - Phường Yên Thế - Thành phố  Pleiku - Gia Lai
đường Phùng Khắc Khoan, tổ 13 - Phường Yên Đỗ - Thành phố  Pleiku - Gia Lai
314A đường Phan Đình Phùng - Phường Yên Đỗ - Thành phố  Pleiku - Gia Lai
03 Hoàng Văn Thụ - Thị trấn Phú Hòa - Huyện Chư Păh - Gia Lai
Thôn Tân Lạc - Xã Bình Giáo - Huyện Chư Prông - Gia Lai
59 Hoàng Văn Thụ - Phường Ia Kring - Thành phố  Pleiku - Gia Lai
236 Phan Đình Phùng - Phường Yên Đỗ - Thành phố  Pleiku - Gia Lai
Tổ 2 - Phường Chi Lăng - Thành phố  Pleiku - Gia Lai
815 Phạm Văn Đồng - Phường Yên Thế - Thành phố  Pleiku - Gia Lai
340A Cách Mạng Tháng Tám - Tổ 11 - Phường Hoa Lư - Thành phố  Pleiku - Gia Lai
232B Phan Đình Phùng. - Phường Yên Đỗ - Thành phố  Pleiku - Gia Lai
448 Quang Trung - Phường An Phú - Thị xã An Khê - Gia Lai
Số 29 Cô Giang - Thành phố  Pleiku - Gia Lai
141A Trần Hưng Đạo - Phường Đoàn Kết - Thị xã Ayun Pa - Gia Lai
54 Yên Đỗ - Phường Yên Đỗ - Thành phố  Pleiku - Gia Lai
Làng pó - Huyện Chư Prông - Gia Lai
38 Lý Thái Tổ - Phường Yên Đỗ - Thành phố  Pleiku - Gia Lai
72 Quang Trung - Thị trấn Phú Túc - Huyện Krông Pa - Gia Lai
05 Phạm Văn Đồng - Phường Tây Sơn - Thành phố  Pleiku - Gia Lai
180 Phan Đình Giót - Phường Hội Thương - Thành phố  Pleiku - Gia Lai
8C Lê Lai - Phường Tây Sơn - Thành phố  Pleiku - Gia Lai
212 Hai Bà Trưng - Phường Yên Đỗ - Thành phố  Pleiku - Gia Lai
385 Trường Chinh, Phường Trà Bá, Thành phố  Pleiku, Tỉnh Gia Lai
582 đường Trường Chinh - Phường Chi Lăng - Thành phố  Pleiku - Gia Lai
Thôn Mỹ Thạch - Thị trấn Chư Sê - Huyện Chư Sê - Gia Lai
52 đường 17/3, tổ 15 - Phường Thống Nhất - Thành phố  Pleiku - Gia Lai
58/77 Phạm Văn Đồng - Phường Hoa Lư - Thành phố  Pleiku - Gia Lai
117 Cách mạng tháng 8 - Thành phố  Pleiku - Gia Lai
Thôn Cầu Vàng - Xã K- Dang - Huyện Đak Đoa - Gia Lai
63 Nguyễn Tất Thành - Phường Hoa Lư - Thành phố  Pleiku - Gia Lai
Làng Ba - Xã Ia Pnôn - Huyện Đức Cơ - Gia Lai
Thôn 6 - Thị trấn Chư Prông - Huyện Chư Prông - Gia Lai
